#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
951412772644479,-0.007459675459078836,-0.007016993407910046,-0.009922316707064529,10.286825539490156,0.1842538154576112,-2.7776167189927
951412773621197,0.014019240624505987,0.0013080418022963299,0.0022320603797140967,10.223822095046211,0.1739225043159687,-2.479936739713306
951412774597916,0.0064294182419526716,0.004223794699749097,-0.012459911527129715,10.320262854243426,0.2684483914167166,-2.2227410785536876
951412775574375,-0.03438060751507312,0.02923765696282123,0.013717435195748263,10.309097325498911,0.2845676183245523,-1.7583609073611686
951412776551093,-0.006026354865368144,0.003962913469982773,-0.011925311511677245,10.255546002499992,0.2528398225646898,-2.3049006931864664
951412777527760,0.0020892181926822025,0.0022294692396418792,0.0015640611108748029,10.258511381369203,0.22343427849064906,-2.8990696733520243
951412778504479,-0.008654439280682599,-0.011035730219224788,-0.014729704838516083,10.279727165804408,0.16371360069083365,-2.982420266378033
951412779481197,0.0018385879276634231,-0.011330582438008814,-0.0033777292758687435,10.241065882833157,0.16882123486866313,-2.7287965462592103
951412780457916,0.017837268025667635,0.002135688687341704,-0.008853116676159591,10.276482354650339,0.22170799430853838,-2.4061119855553494
951412781434375,-0.00825892705386012,0.00271777548098671,-0.0031109307690950928,10.304410242845844,0.23284685508503833,-2.1000971458011337
951412782411093,-0.017260955409668176,-0.0011181188506883908,-0.0023095322468689714,10.284435844946271,0.24268986639700202,-1.8714790012456706
951412783387812,0.002469888324142934,-0.00011363411408729551,-0.008452918915999114,10.245795899832627,0.25144633639147007,-2.456122142543176
951412784364531,-0.005858283657939241,-0.0016256669904495197,0.0002280625731962152,10.255396106238935,0.1957722050612872,-3.080058623567227
951412785341197,-0.0045532930167558145,-0.007192621304333067,-0.014729704838516083,10.29193061095965,0.11834064165539418,-3.0348113860134265
951412786317656,0.007025352593690608,-0.011788829420870372,0.004636255946392456,10.245631657055437,0.1643165274162509,-2.5311378750943625
951412787294375,0.009735676948360758,0.008200668813558534,-0.0121921100184509,10.229064950312576,0.26722253804955276,-2.247746654117047
951412788271093,-0.01618919408891773,0.00026989503036160736,0.004636255946392456,10.247602460893074,0.22335064587927198,-2.0691386665494105
951412789247812,-0.005224146193227551,0.00599803047113381,-0.006716722618160048,10.280426839383907,0.23879913563813132,-2.1060510436283892
951412790224531,0.0014310224792745043,-0.003361418965001637,-0.0012403322159640347,10.226142113262561,0.22260613444827992,-2.6263952696359905
